ratio2	delta2	std2	ratio5	delta5	std5	fit_2_x	fit_2_y	fit_5_x	fit_5_y
0	0	0	0	0	0	0	0	0	0
0.15	0.001712	0	0.15	0.003801	0.000505	0.204082	0.00184	0.163265	0.004428
0.3	0.003479	0	0.3	0.007912	0.000991	0.408163	0.003491	0.326531	0.008629
0.45	0.004518	0	0.45	0.012579	0.000676	0.612245	0.004921	0.489796	0.01251
0.6	0.005882	0	0.6	0.014983	0.00064	0.816327	0.006115	0.653061	0.015957
0.75	0.006556	0	0.75	0.016596	0.000399	1.020408	0.007083	0.816327	0.018863
0.9	0.006676	0.000167	0.9	0.019127	9.00E-05	1.22449	0.007851	0.979592	0.021177
1.05	0.007506	0.000257	1.05	0.021828	0.000454	1.428571	0.008455	1.142857	0.022934
1.2	0.007826	6.80E-05	1.2	0.024228	0.00051	1.632653	0.008931	1.306122	0.024237
1.35	0.008248	0.000211	1.35	0.023906	0.000196	1.836735	0.009309	1.469388	0.0252
1.5	0.008233	0.000254	1.5	0.025345	0.000705	2.040816	0.009613	1.632653	0.02592
1.8	0.008805	0.000105	1.8	0.026254	0.000594	2.244898	0.00986	1.795918	0.02647
2.1	0.009224	5.00E-06	2.1	0.026222	2.30E-05	2.44898	0.010064	1.959184	0.026898
2.4	0.009767	0.00034	2.4	0.02785	0.0003	2.653061	0.010235	2.122449	0.027239
2.7	0.009838	0	2.7	0.028466	0.001632	2.857143	0.010379	2.285714	0.027515
3	0.010135	0	3	0.028007	0.000712	3.061224	0.010503	2.44898	0.027743
3.3	0.010364	0.000188	3.6	0.028058	0.000687	3.265306	0.010609	2.612245	0.027934
3.6	0.011117	5.00E-06	4.2	0.028299	0.000708	3.469388	0.010702	2.77551	0.028095
			4.8	0.029697	0.000116	3.673469	0.010784	2.938776	0.028234
			6	0.027905	0.001491	3.877551	0.010856	3.102041	0.028354
						4.081633	0.01092	3.265306	0.028458
						4.285714	0.010977	3.428571	0.028551
						4.489796	0.011029	3.591837	0.028633
						4.693878	0.011076	3.755102	0.028706
						4.897959	0.011118	3.918367	0.028772
						5.102041	0.011157	4.081633	0.028831
						5.306122	0.011193	4.244898	0.028885
						5.510204	0.011226	4.408163	0.028934
						5.714286	0.011256	4.571429	0.028979
						5.918367	0.011284	4.734694	0.02902
						6.122449	0.011309	4.897959	0.029058
						6.326531	0.011334	5.061224	0.029094
						6.530612	0.011356	5.22449	0.029126
						6.734694	0.011377	5.387755	0.029156
						6.938776	0.011397	5.55102	0.029185
						7.142857	0.011415	5.714286	0.029211
						7.346939	0.011432	5.877551	0.029236
						7.55102	0.011449	6.040816	0.029259
						7.755102	0.011464	6.204082	0.029281
						7.959184	0.011479	6.367347	0.029301
						8.163265	0.011493	6.530612	0.029321
						8.367347	0.011506	6.693878	0.029339
						8.571429	0.011518	6.857143	0.029356
						8.77551	0.01153	7.020408	0.029372
						8.979592	0.011541	7.183673	0.029388
						9.183673	0.011552	7.346939	0.029403
						9.387755	0.011562	7.510204	0.029417
						9.591837	0.011572	7.673469	0.02943
						9.795918	0.011581	7.836735	0.029443
						10	0.01159	8	0.029455
